日期,可用资金,持仓市值,总资产,累计收益率(%)
2025-01-02,9015012.26,984771.09,9999783.35,-0.00
2025-01-03,8723405.16,1270667.38,9994072.54,-0.06
2025-01-06,8330600.44,1682224.78,10012825.22,0.13
2025-01-07,8133078.36,1868017.10,10001095.46,0.01
2025-01-08,8033134.42,1979833.96,10012968.38,0.13
2025-01-09,7739001.58,2252813.51,9991815.09,-0.08
2025-01-10,7541677.61,2423747.44,9965425.05,-0.35
2025-01-13,7349215.38,2632516.20,9981731.58,-0.18
2025-01-14,7054618.94,2982948.40,10037567.34,0.38
2025-01-15,6955331.78,3078181.42,10033513.20,0.34
2025-01-16,6955331.78,3098509.55,10053841.33,0.54
2025-01-17,6755510.47,3316775.95,10072286.42,0.72
2025-01-20,6554208.79,3535067.85,10089276.64,0.89
2025-01-21,6255209.06,3813883.61,10069092.68,0.69
2025-01-22,6255209.06,3781033.05,10036242.11,0.36
2025-01-23,6255209.06,3789138.41,10044347.48,0.44
2025-01-24,6155627.00,3909849.22,10065476.22,0.65
2025-01-27,6056315.16,4029781.81,10086096.97,0.86
2025-02-05,5758556.38,4276238.69,10034795.07,0.35
2025-02-06,5581792.54,4482450.79,10064243.33,0.64
2025-02-07,5581792.54,4522169.72,10103962.26,1.04
2025-02-10,5482393.61,4621213.36,10103606.97,1.04
2025-02-11,5482393.61,4600795.46,10083189.08,0.83
2025-02-12,5185584.57,4902472.14,10088056.70,0.88
2025-02-13,4791943.81,5290772.54,10082716.35,0.83
2025-02-14,4791943.81,5321016.38,10112960.20,1.13
2025-02-17,4589780.63,5522815.96,10112596.60,1.13
2025-02-18,4667854.54,5388890.34,10056744.88,0.57
2025-02-19,4370367.13,5689992.73,10060359.86,0.60
2025-02-20,4273655.38,5789321.15,10062976.53,0.63
2025-02-21,4260886.67,5838951.04,10099837.71,1.00
2025-02-24,4149387.84,5935582.23,10084970.07,0.85
2025-02-25,4134773.27,5873153.67,10007926.94,0.08
2025-02-26,3934785.61,6137445.93,10072231.55,0.72
2025-02-27,4032863.46,6049926.66,10082790.12,0.83
2025-02-28,4130985.69,5857524.59,9988510.27,-0.11
