交易日期,股票代码,股票名称,操作类型,交易价格,交易数量,交易金额,手续费,持仓数量,剩余资金,交易原因
2025-01-02,sh.603277,银都股份,buy,28.43,3500,99517.60,21.89,3500,9900460.51,入选TOP10
2025-01-02,sh.600025,华能水电,buy,9.25,10800,99900.00,21.98,10800,9800538.53,入选TOP10
2025-01-02,sh.603556,海兴电力,buy,56.57,1700,96164.07,21.16,1700,9704353.30,入选TOP10
2025-01-02,sh.688513,苑东生物,buy,45.68,2100,95929.47,21.10,2100,9608402.73,入选TOP10
2025-01-02,sh.603439,贵州三力,buy,13.14,7600,99868.56,21.97,7600,9508512.20,入选TOP10
2025-01-02,sz.300760,迈瑞医疗,buy,247.85,400,99140.00,21.81,400,9409350.39,入选TOP10
2025-01-02,sh.603195,公牛集团,buy,68.95,1400,96530.00,21.24,1400,9312799.15,入选TOP10
2025-01-02,sh.601866,中远海发,buy,3.00,33300,99925.97,21.98,33300,9212851.19,入选TOP10
2025-01-02,sh.688658,悦康药业,buy,15.91,6200,98670.52,21.71,6200,9114158.96,入选TOP10
2025-01-02,sh.601872,招商轮船,buy,10.43,9500,99124.90,21.81,9500,9015012.26,入选TOP10
2025-01-03,sz.002961,瑞达期货,buy,14.50,6800,98594.56,21.69,6800,8916396.01,入选TOP10
2025-01-03,sh.600566,济川药业,buy,49.83,2000,99650.20,21.92,2000,8816723.88,入选TOP10
2025-01-03,sz.300856,科思股份,buy,77.75,1200,93298.20,20.53,1200,8723405.16,入选TOP10
2025-01-06,sz.300573,兴齐眼药,buy,141.16,700,98814.10,21.74,700,8624569.32,入选TOP10
2025-01-06,sh.603198,迎驾贡酒,buy,63.84,1500,95766.90,21.07,1500,8528781.35,入选TOP10
2025-01-06,sh.603393,新天然气,buy,82.08,1200,98497.32,21.67,1200,8430262.36,入选TOP10
2025-01-06,sh.600027,华电国际,buy,5.30,18800,99640.00,21.92,18800,8330600.44,入选TOP10
2025-01-07,sh.601225,陕西煤业,buy,36.95,2700,99759.33,21.95,2700,8230819.16,入选TOP10
2025-01-07,sh.601001,晋控煤业,buy,32.57,3000,97719.30,21.50,3000,8133078.36,入选TOP10
2025-01-08,sh.688366,昊海生科,buy,83.27,1200,99921.96,21.98,1200,8033134.42,入选TOP10
2025-01-09,sh.601866,中远海发,buy,2.92,34200,99741.56,21.94,67500,7933370.91,入选TOP10
2025-01-09,sh.603279,景津装备,buy,28.77,3400,97815.62,21.52,3400,7835533.77,入选TOP10
2025-01-09,sh.688513,苑东生物,buy,45.96,2100,96510.96,21.23,4200,7739001.58,入选TOP10
2025-01-10,sz.002961,瑞达期货,buy,14.32,6900,98775.57,21.73,13700,7640204.28,入选TOP10
2025-01-10,sh.605368,蓝天燃气,buy,19.70,5000,98505.00,21.67,5000,7541677.61,入选TOP10
2025-01-13,sh.603195,公牛集团,buy,66.66,1400,93324.00,20.53,2800,7448333.08,入选TOP10
2025-01-13,sh.601156,东航物流,buy,17.09,5800,99095.90,21.80,5800,7349215.38,入选TOP10
2025-01-14,sh.601225,陕西煤业,buy,36.20,2700,97731.36,21.50,5400,7251462.52,入选TOP10
2025-01-14,sz.003816,中国广核,buy,4.16,24100,100256.48,22.06,24100,7151183.98,入选TOP10
2025-01-14,sh.601126,四方股份,buy,48.27,2000,96543.80,21.24,2000,7054618.94,入选TOP10
2025-01-15,sh.603439,贵州三力,buy,12.89,7700,99265.32,21.84,15300,6955331.78,入选TOP10
2025-01-17,sh.605368,蓝天燃气,buy,19.52,5100,99560.16,21.90,10100,6855749.72,入选TOP10
2025-01-17,sz.301015,百洋医药,buy,25.05,4000,100217.20,22.05,4000,6755510.47,入选TOP10
2025-01-20,sh.600566,济川药业,buy,50.40,2000,100802.20,22.18,4000,6654686.09,入选TOP10
2025-01-20,sh.600905,三峡能源,buy,4.39,22900,100455.20,22.10,22900,6554208.79,入选TOP10
2025-01-21,sz.003816,中国广核,buy,4.08,24600,100373.90,22.08,48700,6453812.81,入选TOP10
2025-01-21,sh.600956,新天绿能,buy,7.72,13000,100385.74,22.08,13000,6353404.98,入选TOP10
2025-01-21,sh.603279,景津装备,buy,28.87,3400,98174.32,21.60,6800,6255209.06,入选TOP10
2025-01-24,sh.605368,蓝天燃气,buy,19.52,5100,99560.16,21.90,15200,6155627.00,入选TOP10
2025-01-27,sh.600566,济川药业,buy,49.65,2000,99290.00,21.84,6000,6056315.16,入选TOP10
2025-02-05,sz.003816,中国广核,buy,4.17,24000,100114.08,22.03,72700,5956179.05,入选TOP10
2025-02-05,sh.601126,四方股份,buy,48.79,2000,97579.20,21.47,4000,5858578.38,入选TOP10
2025-02-05,sh.601138,工业富联,buy,20.00,5000,100000.00,22.00,5000,5758556.38,入选TOP10
2025-02-06,sz.000596,古井贡酒,buy,400.19,200,80037.60,17.61,200,5678501.17,入选TOP10
2025-02-06,sh.688408,中信博,buy,87.90,1100,96687.36,21.27,1100,5581792.54,入选TOP10
2025-02-10,sh.605368,蓝天燃气,buy,19.49,5100,99377.07,21.86,20300,5482393.61,入选TOP10
2025-02-12,sz.002270,华明装备,buy,40.98,2400,98340.72,21.63,2400,5384031.26,入选TOP10
2025-02-12,sh.600566,济川药业,buy,48.87,2000,97742.00,21.50,8000,5286267.75,入选TOP10
2025-02-12,sz.003816,中国广核,buy,4.19,24000,100661.04,22.15,96700,5185584.57,入选TOP10
2025-02-13,sh.601126,四方股份,buy,47.97,2100,100731.33,22.16,6100,5084831.08,入选TOP10
2025-02-13,sh.601918,新集能源,buy,11.12,9000,100118.70,22.03,9000,4984690.35,入选TOP10
2025-02-13,sh.688408,中信博,buy,85.11,1100,93618.14,20.60,2200,4891051.61,入选TOP10
2025-02-13,sh.601088,中国神华,buy,38.11,2600,99086.00,21.80,2600,4791943.81,入选TOP10
2025-02-17,sh.605368,蓝天燃气,buy,19.43,5200,101045.88,22.23,25500,4690875.70,入选TOP10
2025-02-17,sh.600968,海油发展,buy,4.34,23300,101072.84,22.24,23300,4589780.63,入选TOP10
2025-02-18,sh.603619,中曼石油,buy,20.05,5000,100227.50,22.05,5000,4489531.08,入选TOP10
2025-02-18,sh.601225,陕西煤业,sell_all,33.06,5400,178541.28,217.82,0,4667854.54,止盈/止损清仓
2025-02-19,sh.601857,中国石油,buy,13.59,7400,100551.94,22.12,7400,4567280.48,入选TOP10
2025-02-19,sh.601898,中煤能源,buy,14.79,6800,100540.04,22.12,6800,4466718.32,入选TOP10
2025-02-19,sz.000999,华润三九,buy,96.33,1000,96330.00,21.19,1000,4370367.13,入选TOP10
2025-02-20,sz.002270,华明装备,buy,40.29,2400,96690.48,21.27,4800,4273655.38,入选TOP10
2025-02-21,sh.600026,中远海能,buy,11.56,8700,100572.00,22.13,8700,4173061.25,入选TOP10
2025-02-21,sh.601001,晋控煤业,sell_all,29.31,3000,87932.70,107.28,0,4260886.67,止盈/止损清仓
2025-02-24,sh.600938,中国海油,buy,25.69,3900,100191.00,22.04,3900,4160673.63,入选TOP10
2025-02-24,sh.601101,昊华能源,buy,32.30,3100,100140.54,22.03,3100,4060511.06,入选TOP10
2025-02-24,sh.601156,东航物流,sell_all,15.34,5800,88985.34,108.56,0,4149387.84,止盈/止损清仓
2025-02-25,sh.603619,中曼石油,buy,19.51,5100,99522.93,21.90,10100,4049843.01,入选TOP10
2025-02-25,sh.603556,海兴电力,sell_all,50.02,1700,85034.00,103.74,0,4134773.27,止盈/止损清仓
2025-02-26,sh.601857,中国石油,buy,13.26,7500,99484.50,21.89,14900,4035266.88,入选TOP10
2025-02-26,sh.601898,中煤能源,buy,14.56,6900,100459.17,22.10,13700,3934785.61,入选TOP10
2025-02-27,sh.603277,银都股份,sell,36.37,2700,98197.65,119.80,800,4032863.46,动态PE1年分位值(64.05%)或动态PS1年分位值(71.49%)高于70%
2025-02-28,sh.688658,悦康药业,sell,16.65,5900,98242.08,119.86,300,4130985.69,动态PE1年分位值(82.64%)或动态PS1年分位值(25.62%)高于70%
